i,j,treat,y
1,1,1,1.357179742
2,1,1,-1.079469661
3,1,1,-0.465276328
4,1,1,-0.536378588
5,1,1,0.019397073
6,1,1,1.767837329
7,1,1,-0.643830104
8,1,1,-0.213459792
9,1,1,0.22583995
10,1,1,0.45326556
1,2,1,-0.805299677
2,2,1,0.357179358
3,2,1,0.918286635
4,2,1,0.748354393
5,2,1,0.495984335
6,2,1,0.582491712
7,2,1,1.173119011
8,2,1,0.20169396
9,2,1,0.453080157
10,2,1,-1.501648639
1,3,1,1.480725519
2,3,1,1.324520471
3,3,1,1.074263283
4,3,1,0.732010617
5,3,1,0.134097369
6,3,1,-0.907961661
7,3,1,-0.695543151
8,3,1,-0.191236441
9,3,1,2.343977467
10,3,1,0.644381191
1,4,1,1.622560822
2,4,1,0.887808543
3,4,1,1.645026606
4,4,1,2.429247233
5,4,1,1.96539463
6,4,1,-0.370714807
7,4,1,0.637979138
8,4,1,-0.198199316
9,4,1,0.49710496
10,4,1,-0.316812934
1,5,1,0.259675023
2,5,1,0.790185694
3,5,1,0.297990149
4,5,1,0.691952535
5,5,1,1.186703732
6,5,1,0.997806582
7,5,1,0.909054351
8,5,1,1.059560613
9,5,1,0.394745492
10,5,1,0.873354818
1,6,1,-0.795424168
2,6,1,-0.443378014
3,6,1,0.258243832
4,6,1,-2.254068317
5,6,1,-2.127019567
6,6,1,-1.098924683
7,6,1,-1.470923672
8,6,1,-0.552595343
9,6,1,-1.184515237
10,6,1,-1.194148631
1,7,1,0.300969081
2,7,1,1.463889472
3,7,1,0.614753682
4,7,1,1.037730506
5,7,1,-0.741768916
6,7,1,0.224872661
7,7,1,1.326579375
8,7,1,1.658795847
9,7,1,0.284262569
10,7,1,0.610108721
1,8,1,1.535465504
2,8,1,0.119034813
3,8,1,-0.01884054
4,8,1,1.594937443
5,8,1,-0.915824024
6,8,1,-0.051609548
7,8,1,1.207279301
8,8,1,0.848835504
9,8,1,1.29820607
10,8,1,-0.235488631
1,9,1,-0.667625671
2,9,1,1.442588443
3,9,1,0.18062089
4,9,1,-1.497293718
5,9,1,1.104169344
6,9,1,-1.813522177
7,9,1,1.630903978
8,9,1,-0.058774701
9,9,1,0.156737365
10,9,1,-1.369035847
1,10,1,0.345646998
2,10,1,-0.655363127
3,10,1,-1.407851485
4,10,1,-0.66389215
5,10,1,-0.041880293
6,10,1,0.775946372
7,10,1,0.044008095
8,10,1,0.523137116
9,10,1,-0.887637764
10,10,1,-0.028533077
11,11,0,-0.765017079
12,12,0,0.708407055
13,13,0,-1.71080766
14,14,0,-0.713271067
15,15,0,0.161441198
16,16,0,0.551060795
17,17,0,0.058367982
18,18,0,-0.303351181
19,19,0,0.409045911
20,20,0,-1.11845758
21,21,0,-0.72576635
22,22,0,0.28689849
23,23,0,0.746974684
24,24,0,-0.471422136
25,25,0,-0.452300577
26,26,0,0.401759813
27,27,0,-0.793396321
28,28,0,0.16812829
29,29,0,1.187505924
30,30,0,1.19835029
31,31,0,-1.455968532
32,32,0,0.399876944
33,33,0,-0.216469018
34,34,0,-1.162469134
35,35,0,-0.033770645
36,36,0,-0.565581275
37,37,0,-0.182871902
38,38,0,-1.130975389
39,39,0,0.387238429
40,40,0,0.061021867
41,41,0,-0.979368601
42,42,0,0.343500449
43,43,0,0.92767858
44,44,0,-0.156204818
45,45,0,0.445222215
46,46,0,-0.967185717
47,47,0,1.169517426
48,48,0,-0.339473096
49,49,0,0.513312561
50,50,0,1.556208759
51,51,0,1.528033863
52,52,0,-0.159690733
53,53,0,-0.241231571
54,54,0,0.161218381
55,55,0,-1.816702183
56,56,0,0.325686472
57,57,0,0.480310358
58,58,0,2.61224257
59,59,0,-1.012090662
60,60,0,0.778214841
61,61,0,0.304876363
62,62,0,0.202139258
63,63,0,1.366849185
64,64,0,0.363911368
65,65,0,-0.19642427
66,66,0,0.798672951
67,67,0,0.305351358
68,68,0,-0.407613298
69,69,0,-0.665612648
70,70,0,0.456676445
71,71,0,1.147234706
72,72,0,-1.3030078
73,73,0,0.873243258
74,74,0,-2.201575487
75,75,0,-1.09805553
76,76,0,-0.203378292
77,77,0,0.161623704
78,78,0,-1.438092785
79,79,0,0.86187787
80,80,0,0.611591677
81,81,0,-0.28197035
82,82,0,-0.244497758
83,83,0,1.647089436
84,84,0,1.139061988
85,85,0,-1.094698697
86,86,0,-2.604478466
87,87,0,-0.564320558
88,88,0,-1.303621696
89,89,0,2.888742481
90,90,0,0.171122018
91,91,0,-0.009990519
92,92,0,0.553205236
93,93,0,2.40423252
94,94,0,-0.390437146
95,95,0,0.701516051
96,96,0,-0.896613551
97,97,0,-0.353570273
98,98,0,-3.269215046
99,99,0,-0.191766309
100,100,0,-0.205199289
101,101,0,1.412909456
102,102,0,-0.334165177
103,103,0,-0.562635417
104,104,0,-0.404949766
105,105,0,-1.76470915
106,106,0,-0.784638613
107,107,0,-1.437706744
108,108,0,0.559873387
109,109,0,-1.341830409
110,110,0,1.01465529
